ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205863_at	2.28e-23	1.31e-27	-37.3999614	51.20678	-8.67	S100A12	S100 calcium binding protein A12
211906_s_at	6.99e-21	8.01e-25	-30.3172724	45.68939	-1.15e+01	SERPINB4	serpin family B member 4
217388_s_at	7.60e-21	1.31e-24	-29.8328705	45.25437	-6.93	KYNU	kynureninase
206561_s_at	8.87e-20	2.03e-23	-27.2461493	42.78108	-8.55	AKR1B10	aldo-keto reductase family 1 member B10
202411_at	4.07e-19	1.17e-22	-25.7095532	41.18055	-4.18	IFI27	interferon alpha inducible protein 27
203691_at	8.30e-19	2.86e-22	-24.9536943	40.35359	-8.11	PI3	peptidase inhibitor 3
219403_s_at	4.02e-18	1.79e-21	-23.4638673	38.64063	-6.03	HPSE	heparanase
204385_at	4.02e-18	1.84e-21	-23.4429357	38.61574	-5.82	KYNU	kynureninase
220322_at	6.48e-18	3.34e-21	-22.9770677	38.05558	-7.05	IL36G	interleukin 36, gamma
210413_x_at	1.38e-17	7.90e-21	-22.3204862	37.24551	-8.43	SERPINB4///SERPINB3	serpin family B member 4///serpin family B member 3
41469_at	2.80e-17	1.76e-20	-21.7220613	36.48537	-7.91	PI3	peptidase inhibitor 3
205513_at	1.53e-16	1.12e-19	-20.3968036	34.72325	-8.49	TCN1	transcobalamin 1
220664_at	1.53e-16	1.16e-19	-20.3715663	34.68859	-8.47	SPRR2C	small proline rich protein 2C (pseudogene)
207367_at	1.53e-16	1.23e-19	-20.3335944	34.63636	-7.02	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit
210663_s_at	2.05e-16	1.76e-19	-20.0836091	34.2901	-6.59	KYNU	kynureninase
214598_at	3.10e-16	2.84e-19	19.7573996	33.83184	5.32	CLDN8	claudin 8
207602_at	3.45e-16	3.36e-19	-19.6442925	33.67121	-5.57	TMPRSS11D	transmembrane protease, serine 11D
203127_s_at	4.20e-16	4.34e-19	-19.47219	33.42508	-3.88	SPTLC2	serine palmitoyltransferase long chain base subunit 2
219195_at	1.01e-15	1.10e-18	18.8588658	32.53054	3.91	PPARGC1A	PPARG coactivator 1 alpha
213658_at	1.09e-15	1.24e-18	18.7770887	32.40917	2.97		
209772_s_at	2.88e-15	3.47e-18	-18.1208643	31.41678	-3.73	CD24	CD24 molecule
203476_at	6.28e-15	7.92e-18	-17.6068113	30.61571	-2.05	TPBG	trophoblast glycoprotein
205660_at	1.39e-14	1.83e-17	-17.0960828	29.79832	-7.12	OASL	2'-5'-oligoadenylate synthetase like
220066_at	1.98e-14	2.72e-17	-16.8595458	29.41226	-2.30	NOD2	nucleotide binding oligomerization domain containing 2
205990_s_at	2.39e-14	3.43e-17	-16.7229058	29.18703	-4.12	WNT5A	Wnt family member 5A
206628_at	2.75e-14	4.09e-17	-16.6190431	29.01474	-3.99	SLC5A1	solute carrier family 5 member 1
203882_at	5.02e-14	7.78e-17	-16.2452525	28.3867	-1.82	IRF9	interferon regulatory factor 9
207356_at	5.47e-14	8.79e-17	-16.1748929	28.26707	-1.05e+01	DEFB4B///DEFB4A	defensin beta 4B///defensin beta 4A
216202_s_at	5.96e-14	9.91e-17	-16.1062365	28.1499	-3.75	SPTLC2	serine palmitoyltransferase long chain base subunit 2
216379_x_at	7.29e-14	1.25e-16	-15.9715852	27.91883	-1.58	CD24	CD24 molecule
208650_s_at	8.24e-14	1.46e-16	-15.8835278	27.76681	-2.87	CD24	CD24 molecule
218454_at	8.89e-14	1.63e-16	-15.8223338	27.66073	-2.36	PLBD1	phospholipase B domain containing 1
202134_s_at	9.10e-14	1.72e-16	-15.7917027	27.6075	-3.96	WWTR1	WW domain containing transcription regulator 1
205783_at	1.04e-13	2.03e-16	-15.6999875	27.4476	-5.47	KLK13	kallikrein related peptidase 13
204712_at	1.56e-13	3.14e-16	15.4560082	27.01831	6.35	WIF1	WNT inhibitory factor 1
209771_x_at	1.78e-13	3.67e-16	-15.3696437	26.86497	-1.50	CD24	CD24 molecule
212957_s_at	2.24e-13	4.89e-16	15.2119848	26.58318	1.98	LINC01278	long intergenic non-protein coding RNA 1278
209791_at	2.24e-13	4.98e-16	15.2017642	26.56482	2.79	PADI2	peptidyl arginine deiminase 2
221962_s_at	2.24e-13	5.01e-16	-15.1983571	26.5587	-2.71	UBE2H	ubiquitin conjugating enzyme E2 H
209792_s_at	2.38e-13	5.54e-16	-15.143801	26.46055	-2.46	KLK10	kallikrein related peptidase 10
35147_at	2.38e-13	5.61e-16	15.1368724	26.44806	1.97	MCF2L	MCF.2 cell line derived transforming sequence like
210797_s_at	2.68e-13	6.46e-16	-15.0600113	26.30922	-6.43	OASL	2'-5'-oligoadenylate synthetase like
216258_s_at	3.86e-13	9.51e-16	-14.8505679	25.92788	-5.12	SERPINB13	serpin family B member 13
221868_at	4.31e-13	1.15e-15	14.7494623	25.7422	2.68	PAIP2B	poly(A) binding protein interacting protein 2B
219554_at	4.31e-13	1.16e-15	-14.7444721	25.73301	-5.44	RHCG	Rh family C glycoprotein
213900_at	4.31e-13	1.16e-15	14.7419645	25.72839	3.36	FAM189A2	family with sequence similarity 189 member A2
209719_x_at	4.31e-13	1.16e-15	-14.74186	25.7282	-6.78	SERPINB3	serpin family B member 3
217739_s_at	4.31e-13	1.19e-15	-14.7323148	25.71061	-2.04	NAMPT	nicotinamide phosphoribosyltransferase
221527_s_at	5.27e-13	1.48e-15	14.6140203	25.49183	2.05	PARD3	par-3 family cell polarity regulator
206008_at	6.21e-13	1.81e-15	-14.5083208	25.29512	-3.38	TGM1	transglutaminase 1
219956_at	6.21e-13	1.82e-15	-14.5055333	25.28992	-5.21	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
213657_s_at	6.49e-13	1.93e-15	14.4723451	25.22791	2.75		
213457_at	6.77e-13	2.06e-15	-14.43959	25.16659	-2.75	MFHAS1	malignant fibrous histiocytoma amplified sequence 1
205259_at	7.74e-13	2.40e-15	14.3592949	25.01581	3.11	NR3C2	nuclear receptor subfamily 3 group C member 2
37590_g_at	7.82e-13	2.47e-15	14.3444763	24.98791	2.60		
203779_s_at	7.99e-13	2.56e-15	-14.3241149	24.94953	-4.44	MPZL2	myelin protein zero like 2
215808_at	8.89e-13	2.91e-15	-14.2581081	24.82483	-4.07	KLK10	kallikrein related peptidase 10
209720_s_at	8.89e-13	2.96e-15	-14.2498748	24.80924	-6.77	SERPINB3	serpin family B member 3
217315_s_at	1.24e-12	4.18e-15	-14.0693397	24.46563	-5.44	KLK13	kallikrein related peptidase 13
204601_at	1.32e-12	4.53e-15	-14.0289	24.38819	-2.32	N4BP1	NEDD4 binding protein 1
210306_at	1.33e-12	4.65e-15	14.0145143	24.36059	2.13	L3MBTL1	l(3)mbt-like 1 (Drosophila)
205325_at	1.47e-12	5.23e-15	13.9546013	24.24544	3.62	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein
210951_x_at	1.54e-12	5.56e-15	-13.9226793	24.18392	-3.26	RAB27A	RAB27A, member RAS oncogene family
209514_s_at	1.92e-12	7.06e-15	-13.8012423	23.94889	-3.27	RAB27A	RAB27A, member RAS oncogene family
32069_at	1.97e-12	7.33e-15	-13.7818033	23.91112	-1.88	N4BP1	NEDD4 binding protein 1
212769_at	2.02e-12	7.71e-15	-13.7558608	23.86064	-2.82	TLE3	transducin like enhancer of split 3
213060_s_at	2.02e-12	7.75e-15	-13.7533752	23.8558	-5.62	CHI3L2	chitinase 3 like 2
213029_at	2.02e-12	7.88e-15	13.7447812	23.83906	1.28	NFIB	nuclear factor I B
208539_x_at	2.04e-12	8.06e-15	-13.7339307	23.81792	-6.20	SPRR2B	small proline rich protein 2B
202345_s_at	2.34e-12	9.38e-15	-13.656919	23.66746	-1.64	FABP5	fatty acid binding protein 5
266_s_at	2.55e-12	1.04e-14	-13.6056179	23.56687	-1.42	CD24	CD24 molecule
219358_s_at	2.84e-12	1.17e-14	-13.5442666	23.44618	-2.63	ADAP2	ArfGAP with dual PH domains 2
219795_at	2.87e-12	1.22e-14	-13.5261102	23.41039	-3.97	SLC6A14	solute carrier family 6 member 14
208651_x_at	2.87e-12	1.22e-14	-13.5258169	23.40981	-1.69	CD24	CD24 molecule
209969_s_at	3.30e-12	1.42e-14	-13.44787	23.25571	-4.06	STAT1	signal transducer and activator of transcription 1
221698_s_at	3.32e-12	1.45e-14	-13.4391736	23.23848	-2.89	CLEC7A	C-type lectin domain family 7 member A
204548_at	3.42e-12	1.51e-14	13.4175314	23.19555	2.09	STAR	steroidogenic acute regulatory protein
207121_s_at	4.55e-12	2.03e-14	-13.2694163	22.90034	-1.32	MAPK6	mitogen-activated protein kinase 6
221779_at	5.25e-12	2.40e-14	-13.1872837	22.73556	-1.97	MICALL1	MICAL like 1
203535_at	5.25e-12	2.41e-14	-13.186217	22.73342	-8.30	S100A9	S100 calcium binding protein A9
AFFX-HUMISGF3A/M97935_MA_at	6.98e-12	3.24e-14	-13.039809	22.43776	-4.95	STAT1	signal transducer and activator of transcription 1
211075_s_at	7.19e-12	3.41e-14	-13.0151716	22.38776	-1.77	CD47	CD47 molecule
203964_at	7.19e-12	3.42e-14	-13.0134287	22.38422	-1.92	NMI	N-myc and STAT interactor
219270_at	1.01e-11	4.90e-14	-12.8389388	22.02807	-4.91	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1
209921_at	1.01e-11	4.91e-14	-12.8380177	22.02618	-4.33	SLC7A11	solute carrier family 7 member 11
220658_s_at	1.06e-11	5.22e-14	-12.8087492	21.96609	-3.95	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2
209124_at	1.06e-11	5.38e-14	-12.7936263	21.935	-1.26	MYD88	myeloid differentiation primary response 88
212510_at	1.06e-11	5.39e-14	12.7928538	21.93341	2.05	GPD1L	glycerol-3-phosphate dehydrogenase 1-like
213857_s_at	1.06e-11	5.42e-14	-12.7905515	21.92868	-1.19	CD47	CD47 molecule
214036_at	1.08e-11	5.58e-14	12.7758574	21.89844	2.13	EFNA5	ephrin A5
203780_at	1.30e-11	6.76e-14	-12.6835504	21.7079	-2.21	MPZL2	myelin protein zero like 2
214490_at	1.35e-11	7.12e-14	-12.6589595	21.65697	-4.45	ARSF	arylsulfatase F
221249_s_at	1.40e-11	7.46e-14	12.6363207	21.61002	2.23	FAM117A	family with sequence similarity 117 member A
218510_x_at	1.40e-11	7.65e-14	12.6243311	21.58513	2.92	FAM134B	family with sequence similarity 134 member B
210652_s_at	1.40e-11	7.68e-14	-12.6225613	21.58146	-3.59	TTC39A	tetratricopeptide repeat domain 39A
48825_at	1.40e-11	7.69e-14	12.6219634	21.58022	2.10	ING4	inhibitor of growth family member 4
211361_s_at	1.41e-11	7.83e-14	-12.6134386	21.56251	-2.99	SERPINB13	serpin family B member 13
211788_s_at	1.42e-11	7.97e-14	-12.6050351	21.54504	-3.93	HAUS7///TREX2	HAUS augmin like complex subunit 7///three prime repair exonuclease 2
212737_at	1.69e-11	9.61e-14	-12.5155569	21.35854	-1.48	GM2A	GM2 ganglioside activator
204858_s_at	1.76e-11	1.02e-13	-12.48903	21.30307	-4.55	TYMP	thymidine phosphorylase
207760_s_at	1.76e-11	1.02e-13	12.487701	21.30029	1.19	NCOR2	nuclear receptor corepressor 2
209737_at	1.95e-11	1.14e-13	12.4339507	21.18761	2.13	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
218017_s_at	2.02e-11	1.19e-13	12.4135051	21.14466	1.06	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
208436_s_at	2.30e-11	1.37e-13	-12.3475862	21.00585	-3.34	IRF7	interferon regulatory factor 7
218312_s_at	2.44e-11	1.47e-13	12.3142459	20.93543	3.16	ZSCAN18	zinc finger and SCAN domain containing 18
203148_s_at	2.52e-11	1.53e-13	-12.2957262	20.89627	-2.29	TRIM14	tripartite motif containing 14
204972_at	2.60e-11	1.59e-13	-12.2766117	20.85579	-5.83	OAS2	2'-5'-oligoadenylate synthetase 2
219635_at	2.62e-11	1.62e-13	12.2678554	20.83724	2.19	ZNF606	zinc finger protein 606
35820_at	3.03e-11	1.90e-13	-12.1953324	20.6832	-1.67	GM2A	GM2 ganglioside activator
202018_s_at	3.03e-11	1.91e-13	-12.1918738	20.67584	-6.89	LTF	lactotransferrin
218810_at	3.23e-11	2.06e-13	-12.1575675	20.60274	-4.25	MIR6732///ZC3H12A	microRNA 6732///zinc finger CCCH-type containing 12A
208498_s_at	3.28e-11	2.11e-13	12.146326	20.57875	2.98	ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)
202519_at	3.32e-11	2.15e-13	12.1360069	20.55672	2.07	MLXIP	MLX interacting protein
221530_s_at	3.59e-11	2.35e-13	12.0958115	20.47077	3.25	BHLHE41	basic helix-loop-helix family member e41
221903_s_at	4.06e-11	2.68e-13	-12.0349119	20.34018	-1.77	CYLD	CYLD lysine 63 deubiquitinase
202269_x_at	4.15e-11	2.76e-13	-12.020084	20.30832	-2.85	GBP1	guanylate binding protein 1
217845_x_at	4.21e-11	2.82e-13	-12.0102224	20.28711	-9.02e-01	HIGD1A	HIG1 hypoxia inducible domain family member 1A
204032_at	4.28e-11	2.89e-13	11.998808	20.26255	2.65	BCAR3	breast cancer anti-estrogen resistance 3
205590_at	4.28e-11	2.92e-13	-11.9944227	20.25311	-1.59	RASGRP1	RAS guanyl releasing protein 1
209800_at	4.39e-11	3.02e-13	-11.9789556	20.21979	-4.30	KRT16	keratin 16
217678_at	4.48e-11	3.11e-13	-11.9657006	20.19121	-3.35	SLC7A11	solute carrier family 7 member 11
219850_s_at	5.43e-11	3.80e-13	-11.8732928	19.99139	-3.62	EHF	ETS homologous factor
212695_at	5.82e-11	4.10e-13	11.838014	19.91482	1.99	CRY2	cryptochrome circadian clock 2
206472_s_at	6.24e-11	4.44e-13	-11.8020544	19.83662	-2.48	TLE3	transducin like enhancer of split 3
