orf_id,length,blast_top_hit,blast_evalue,blast_pct_id,pfam_hits,pfam_accessions,pfam_evalue,twilight_followup_used,twilight_followup_outcome,proposed_annotation,evidence_summary,confidence
mORF_01,99,RecName: Full=DNA-directed RNA polymerase subunit Rpo11; AltName: Full=DNA-directed RNA polymerase subunit L; Short=mjL [Methanocaldococcus jannaschii DSM 2661],2.34e-64,100.0,RNA polymerase Rpb3/Rpb11 dimerisation domain,PF13656,4.1E-17,False,—,RNA polymerase subunit Rpo11 (RpoL),BLASTp e=2.34e-64 id=100.0% | Pfam: RNA polymerase Rpb3/Rpb11 dimerisation domain,high
mORF_02,498,RecName: Full=DNA-directed RNA polymerase subunit Rpo2N; AltName: Full=DNA-directed RNA polymerase subunit B'' [Methanocaldococcus jannaschii DSM 2661],0.00e+00,100.0,"RNA polymerase beta subunit; RNA polymerase Rpb2, domain 3; RNA polymerase Rpb2, domain 2",PF04563; PF04565; PF04561,2.1E-54; 5.0E-22; 2.4E-24,False,—,RNA polymerase subunit Rpo2N (RpoB''),"BLASTp e=0.00e+00 id=100.0% | Pfam: RNA polymerase beta subunit; RNA polymerase Rpb2, domain 3; RNA polymerase Rpb2, domain 2",high
mORF_03,542,RecName: Full=Thermosome subunit; AltName: Full=Chaperonin subunit [Methanocaldococcus jannaschii DSM 2661],0.00e+00,100.0,TCP-1/cpn60 chaperonin family,PF00118,0.0,False,—,Thermosome subunit (Group II chaperonin),BLASTp e=0.00e+00 id=100.0% | Pfam: TCP-1/cpn60 chaperonin family,high
mORF_04,428,RecName: Full=Elongation factor 1-alpha; Short=EF-1-alpha; AltName: Full=Elongation factor Tu; Short=EF-Tu [Methanocaldococcus jannaschii DSM 2661],0.00e+00,100.0,Elongation factor Tu GTP binding domain; GTP-eEF1A C-terminal domain-like; Elongation factor Tu domain 2,PF00009; PF22594; PF03144,2.4E-57; 1.5E-34; 1.8E-15,False,—,Elongation factor 1-alpha (EF-Tu),BLASTp e=0.00e+00 id=100.0% | Pfam: Elongation factor Tu GTP binding domain; GTP-eEF1A C-terminal domain-like; Elongation factor Tu domain 2,high
mORF_05,1155,RecName: Full=Probable translation initiation factor IF-2; Contains: RecName: Full=Mja infB intein; AltName: Full=Mja IF2 intein [Methanocaldococcus jannaschii DSM 2661],0.00e+00,100.0,Translation-initiation factor 2; LAGLIDADG-like domain; Elongation factor Tu domain 4; Intein splicing domain; Elongation factor Tu GTP binding domain,PF11987; PF14528; PF14578; PF14890; PF00009,6.3E-18; 2.5E-18; 4.9E-26; 3.6E-23; 3.3E-21,False,—,Translation initiation factor aIF2 + intein,BLASTp e=0.00e+00 id=100.0% | Pfam: Translation-initiation factor 2; LAGLIDADG-like domain; Elongation factor Tu domain 4; Intein splicing domain; Elongation factor Tu GTP binding domain,high
mORF_06,434,RecName: Full=Glutamyl-tRNA(Gln) amidotransferase subunit A; Short=Glu-ADT subunit A [Methanocaldococcus jannaschii DSM 2661],0.00e+00,100.0,Amidase,PF01425,2.6E-129,False,—,Glutamyl-tRNA amidotransferase subunit A,BLASTp e=0.00e+00 id=100.0% | Pfam: Amidase,high
mORF_07,447,RecName: Full=Methyl-coenzyme M reductase I subunit beta; Short=MCR I beta; AltName: Full=Coenzyme-B sulfoethylthiotransferase beta [Methanocaldococcus jannaschii DSM 2661],0.00e+00,100.0,"Methyl-coenzyme M reductase beta subunit, N-terminal domain; Methyl-coenzyme M reductase beta subunit, C-terminal domain",PF02783; PF02241,1.9E-79; 0.0,False,—,Methyl-coenzyme M reductase subunit beta,"BLASTp e=0.00e+00 id=100.0% | Pfam: Methyl-coenzyme M reductase beta subunit, N-terminal domain; Methyl-coenzyme M reductase beta subunit, C-terminal domain",high
mORF_08,249,RecName: Full=Coenzyme F420:L-glutamate ligase; AltName: Full=Coenzyme F420-0:L-glutamate ligase; AltName: Full=Coenzyme F420-1:gamma-L-glutamate ligase; AltName: Full=F420:glutamyl ligase [Methanocaldococcus jannaschii DSM 2661],1.05e-173,100.0,F420-0:Gamma-glutamyl ligase,PF01996,3.5E-74,False,—,F420:glutamyl ligase (CofE),BLASTp e=1.05e-173 id=100.0% | Pfam: F420-0:Gamma-glutamyl ligase,high
mORF_09,291,RecName: Full=Tetrahydromethanopterin:alpha-L-glutamate ligase; AltName: Full=H(4)MPT:alpha-L-glutamate ligase [Methanocaldococcus jannaschii DSM 2661],0.00e+00,100.0,RimK-like ATP-grasp domain,PF08443,7.2E-32,False,—,H4MPT:glutamate ligase,BLASTp e=0.00e+00 id=100.0% | Pfam: RimK-like ATP-grasp domain,high
mORF_10,112,RecName: Full=Uncharacterized protein MJ1245 [Methanocaldococcus jannaschii DSM 2661],7.01e-75,100.0,"Uncharacterized protein, homolog of nitrogen regulatory protein PII",PF10126,3.3E-38,True,RecName: Full=Uncharacterized protein MJ1245,Uncharacterized PII-homolog (MJ1245),"BLASTp e=7.01e-75 id=100.0% | Pfam: Uncharacterized protein, homolog of nitrogen regulatory protein PII | PSI-BLAST: RecName: Full=Uncharacterized protein MJ1245",medium
mORF_11,261,RecName: Full=Uncharacterized protein MJ0602 [Methanocaldococcus jannaschii DSM 2661],1.89e-178,100.0,—,—,—,True,RecName: Full=Uncharacterized protein MJ0602,Uncharacterized protein MJ0602,BLASTp e=1.89e-178 id=100.0% | PSI-BLAST: RecName: Full=Uncharacterized protein MJ0602,medium
mORF_12,185,RecName: Full=Uncharacterized protein MJ0920 [Methanocaldococcus jannaschii DSM 2661],5.32e-134,100.0,50S ribosome-binding GTPase,PF01926,2.6E-16,True,RecName: Full=Uncharacterized protein MJ0920,50S ribosome-binding GTPase,BLASTp e=5.32e-134 id=100.0% | Pfam: 50S ribosome-binding GTPase | PSI-BLAST: RecName: Full=Uncharacterized protein MJ0920,high
